ID,label
train_24525.png,LY
train_14985.png,SNE
train_02956.png,LY
train_06140.png,LY
train_08030.png,SNE
train_04183.png,SNE
train_02208.png,SNE
train_28300.png,MO
train_26439.png,LY
train_00441.png,PMY
train_07918.png,LY
train_24699.png,SNE
train_05337.png,SNE
train_19216.png,SNE
train_14441.png,SNE
train_11284.png,SNE
train_04077.png,MO
train_03607.png,SNE
train_05569.png,BL
train_04572.png,SNE
train_18350.png,SNE
train_17393.png,SNE
train_25472.png,MO
train_14656.png,MY
train_16620.png,SNE
train_16185.png,SNE
train_19259.png,SNE
train_11950.png,SNE
train_02236.png,LY
train_24970.png,EO
train_00400.png,SNE
train_08015.png,SNE
train_25785.png,BL
train_17374.png,SNE
train_07276.png,LY
train_22283.png,SNE
train_14397.png,LY
train_26518.png,SNE
train_23365.png,MO
train_08081.png,BL
train_00449.png,SNE
train_18838.png,SNE
train_21714.png,LY
train_08532.png,LY
train_05771.png,VLY
train_00786.png,BL
train_17757.png,SNE
train_12704.png,SNE
train_06697.png,MY
train_23800.png,LY
train_27800.png,BL
train_06329.png,SNE
train_09074.png,LY
train_14276.png,SNE
train_00748.png,SNE
train_02920.png,MY
train_13031.png,MY
train_25583.png,LY
train_00825.png,SNE
train_28503.png,SNE
train_17180.png,EO
train_25563.png,BNE
train_13770.png,SNE
train_20695.png,LY
train_14390.png,SNE
train_02600.png,SNE
train_01630.png,BL
train_02058.png,MMY
train_08824.png,EO
train_18180.png,SNE
train_07662.png,SNE
train_18813.png,MO
train_10085.png,LY
train_22388.png,SNE
train_24530.png,SNE
train_03903.png,LY
train_07001.png,SNE
train_16334.png,MY
train_20558.png,SNE
train_28685.png,LY
train_20832.png,SNE
train_15572.png,SNE
train_25075.png,BL
train_22851.png,BL
train_02510.png,MO
train_03537.png,MO
train_27626.png,VLY
train_07596.png,MO
train_13006.png,LY
train_10327.png,BL
train_25265.png,LY
train_11866.png,SNE
train_10210.png,LY
train_09610.png,SNE
train_13441.png,MMY
train_13023.png,LY
train_05902.png,BL
train_13662.png,BL
train_07718.png,SNE
train_06677.png,MO
train_12446.png,SNE
train_10535.png,SNE
train_11540.png,SNE
train_09846.png,SNE
train_18904.png,SNE
train_19826.png,SNE
train_20890.png,SNE
train_27671.png,SNE
train_20759.png,SNE
train_14569.png,LY
train_06869.png,SNE
train_19738.png,SNE
train_25943.png,LY
train_07952.png,LY
train_18145.png,SNE
train_03518.png,MO
train_02223.png,SNE
train_05739.png,SNE
train_06912.png,SNE
train_06147.png,LY
train_18996.png,MO
train_17702.png,SNE
train_24751.png,SNE
train_24172.png,LY
train_17401.png,LY
train_19578.png,SNE
train_04479.png,SNE
train_00245.png,SNE
train_18884.png,SNE
train_05626.png,LY
train_27844.png,LY
train_01161.png,LY
train_21507.png,SNE
train_19341.png,BL
train_11021.png,EO
